sim_time; tb3_0?world_linear_velocity/x; tb3_0?world_linear_velocity/y;; tb3_1?world_linear_velocity/x; tb3_1?world_linear_velocity/y
127,679;0,000123872;-0,000139502;1,87E-04;0,0343332;-0,0117825
127,68;-0,00016429;-0,000113851;2,00E-04;0,0343064;-0,0118726
127,681;-5,89E-05;-0,000119635;1,33E-04;0,0342793;-0,0119628
127,682;3,76E-05;-0,000141804;1,47E-04;0,0342519;-0,0120529
127,683;0,000107049;-0,00013932;1,76E-04;0,0342242;-0,012143
127,684;-0,000178206;-9,04E-05;2,00E-04;0,0341963;-0,012233
127,685;-5,73E-05;-9,60E-05;1,12E-04;0,0341681;-0,0123227
127,686;5,17E-05;-0,000102555;1,15E-04;0,0341396;-0,0124123
127,687;-3,17E-05;-6,36E-05;7,10E-05;0,0341109;-0,0125017
127,688;-0,000180507;-0,000363506;4,06E-04;0,034082;-0,0125911
127,689;4,88E-05;-5,68E-05;7,49E-05;0,0340528;-0,0126803
127,69;-8,67E-05;-0,000147951;1,72E-04;0,0340233;-0,0127693
127,691;8,81E-05;-9,35E-05;1,28E-04;0,0339937;-0,0128582
127,692;-0,000194746;-5,25E-05;2,02E-04;0,0339637;-0,012947
127,693;1,99E-05;-2,12E-05;2,91E-05;0,0339337;-0,0130348
127,694;0,000104976;-9,78E-05;1,43E-04;0,0339051;-0,0131168
127,695;-0,000197315;-1,49E-05;1,98E-04;0,0338752;-0,0132005
127,696;1,37E-05;-1,54E-05;2,06E-05;0,0338474;-0,0132768
127,697;9,97E-05;-9,29E-05;1,36E-04;0,0338167;-0,0133573
127,698;-0,000199969;7,30E-06;2,00E-04;0,0337875;-0,0134316
127,699;9,69E-06;-1,17E-05;1,52E-05;0,033755;-0,0135113
127,7;9,63E-05;-8,97E-05;1,32E-04;0,0337255;-0,0135818
127,701;-0,000254974;8,74E-06;2,55E-04;0,0336916;-0,0136601
127,702;-3,07E-07;-3,77E-06;3,78E-06;0,0336599;-0,0137318
127,703;7,86E-05;-7,31E-05;1,07E-04;0,0336238;-0,0138118
127,704;0,000156648;-0,000145314;2,14E-04;0,0335918;-0,0138823
127,705;-0,000141118;8,37E-05;1,64E-04;0,0335541;-0,0139642
127,706;-3,08E-05;2,68E-05;4,09E-05;0,0335189;-0,0140408
127,707;6,40E-05;-6,02E-05;8,79E-05;0,0334789;-0,0141271
127,708;-3,40E-05;3,06E-05;4,58E-05;0,0334439;-0,0142032
127,709;6,19E-05;-5,88E-05;8,54E-05;0,0334038;-0,01429
127,71;-1,94E-05;1,70E-05;2,58E-05;0,0333672;-0,0143706
127,711;-0,00017001;-1,21E-05;1,70E-04;0,0333268;-0,0144592
127,712;2,23E-05;2,60E-05;3,43E-05;0,0332914;-0,0145387
127,713;1,73E-05;-1,65E-05;2,39E-05;0,0335757;-0,0147163
127,714;-8,98E-05;8,31E-05;1,22E-04;0,0337938;-0,0149541
127,715;1,66E-05;-1,71E-05;2,38E-05;0,0339985;-0,0152236
127,716;8,07E-05;-7,54E-05;1,10E-04;0,034214;-0,0154804
127,717;-0,000232698;0,000228754;3,26E-04;0,0344398;-0,0157273
127,718;-6,67E-05;8,33E-05;1,07E-04;0,0346765;-0,0159549
127,719;-4,75E-06;4,41E-06;6,48E-06;0,0349171;-0,0161663
127,72;6,41E-05;-5,91E-05;8,72E-05;0,0351567;-0,0163687
127,721;0,000108064;-9,97E-05;1,47E-04;0,0352949;-0,0165418
127,722;-0,000192847;0,000274276;3,35E-04;0,035392;-0,0167435
127,723;-0,000115305;0,000146081;1,86E-04;0,0354492;-0,0169235
127,724;-5,52E-05;5,07E-05;7,49E-05;0,0354902;-0,0170617
127,725;8,51E-06;-8,19E-06;1,18E-05;0,0355223;-0,0171701
127,726;5,47E-05;-2,66E-05;6,09E-05;0,0355542;-0,0172528
127,727;8,00E-05;-1,83E-05;8,20E-05;0,0355748;-0,0173256
127,728;0,000139204;-1,93E-05;1,41E-04;0,0355908;-0,0173837
127,729;-0,000112938;0,00023209;2,58E-04;0,0355914;-0,0174349
127,73;-0,000345584;0,000323488;4,73E-04;0,0355768;-0,0174843
127,731;-0,0002096;0,000229324;3,11E-04;0,0355443;-0,017539
127,732;-0,000162381;0,000149581;2,21E-04;0,0354941;-0,017601
127,733;-0,00010843;9,99E-05;1,47E-04;0,0354281;-0,0176719
127,734;-6,59E-05;6,07E-05;8,97E-05;0,035351;-0,0177528
127,735;-3,06E-05;2,81E-05;4,15E-05;0,0352692;-0,0178431
127,736;-6,06E-07;2,12E-07;6,42E-07;0,0351889;-0,0179417
127,737;2,41E-05;-2,28E-05;3,32E-05;0,0351151;-0,0180469
127,738;4,29E-05;-4,05E-05;5,90E-05;0,0350511;-0,0181569
127,739;5,44E-05;-5,13E-05;7,48E-05;0,0349982;-0,01827
127,74;5,85E-05;-5,54E-05;8,06E-05;0,0349554;-0,0183839
127,741;5,64E-05;-5,36E-05;7,79E-05;0,0349211;-0,0184974
127,742;4,92E-05;-4,70E-05;6,80E-05;0,0348908;-0,0186124
127,743;-0,00012791;0,00012932;1,82E-04;0,0348594;-0,0187321
127,744;0,000169914;0,000232327;2,88E-04;0,0348259;-0,0188542
127,745;2,41E-05;0,000117438;1,20E-04;0,0347908;-0,0189774
127,746;-0,00018394;0,000180576;2,58E-04;0,0347558;-0,0191009
127,747;1,38E-05;0,00043122;4,31E-04;0,0347229;-0,0192243
127,748;-0,000192722;0,000290186;3,48E-04;0,0346936;-0,0193474
127,749;-0,000359799;0,000311483;4,76E-04;0,0346687;-0,0194697
127,75;-0,000100823;0,000277762;2,95E-04;0,0346481;-0,0195911
127,751;-0,000176717;0,000161565;2,39E-04;0,0346312;-0,0197118
127,752;-0,000293499;0,000226038;3,70E-04;0,0346171;-0,0198316
127,753;1,97E-05;0,000230372;2,31E-04;0,0346048;-0,0199505
127,754;-6,16E-05;5,53E-05;8,27E-05;0,0345931;-0,0200684
127,755;-0,000151697;0,000133104;2,02E-04;0,0345811;-0,0201852
127,756;0,000161575;0,000166508;2,32E-04;0,0345675;-0,0203006
127,757;6,88E-05;-6,24E-06;6,91E-05;0,0345512;-0,0204146
127,758;-2,08E-05;2,75E-05;3,45E-05;0,03453;-0,0205287
127,759;0,000259956;9,25E-05;2,76E-04;0,0345036;-0,0206399
127,76;0,000149285;-5,29E-05;1,58E-04;0,0344727;-0,0207458
127,761;4,88E-05;-5,28E-05;7,19E-05;0,0344356;-0,0208465
127,762;0,000300722;3,11E-05;3,02E-04;0,0343907;-0,0209415
127,763;0,000177055;-0,00010006;2,03E-04;0,0343367;-0,0210304
127,764;7,91E-05;-0,000135706;1,57E-04;0,0342723;-0,0211127
127,765;0,00013263;-1,22E-05;1,33E-04;0,0341964;-0,0211879
127,766;2,56E-05;-2,33E-05;3,46E-05;0,0341086;-0,0212553
127,767;9,16E-05;-7,79E-05;1,20E-04;0,0340084;-0,0213147
127,768;-6,24E-05;5,79E-05;8,51E-05;0,0339461;-0,0214096
127,769;2,85E-05;-2,92E-05;4,08E-05;0,0338821;-0,0214759
127,77;-1,25E-05;-6,31E-05;6,44E-05;0,033803;-0,0215302
127,771;8,97E-05;-2,10E-05;9,22E-05;0,0337027;-0,021579
127,772;0,000120706;-0,000110519;1,64E-04;0,0335827;-0,0216231
127,773;4,86E-05;-4,47E-05;6,60E-05;0,0335195;-0,0217223
127,774;6,59E-05;-0,000114495;1,32E-04;0,0334551;-0,0217886
127,775;0,000134026;-5,29E-05;1,44E-04;0,0333761;-0,0218435
127,776;0,000144204;-0,000131246;1,95E-04;0,0332753;-0,0218945
127,777;0,000160936;-6,94E-05;1,75E-04;0,033154;-0,021943
127,778;0,0001801;-0,000181956;2,56E-04;0,033017;-0,021988
127,779;0,00013673;3,95E-06;1,37E-04;0,0329233;-0,0220675
127,78;0,000152969;-0,000139315;2,07E-04;0,0328288;-0,0221251
127,781;0,000118348;-6,50E-06;1,19E-04;0,0327249;-0,0221743
127,782;0,000186229;-0,000170221;2,52E-04;0,032608;-0,02222
127,783;0,000163438;1,28E-05;1,64E-04;0,0324797;-0,0222636
127,784;3,72E-05;-3,61E-05;5,18E-05;0,0323445;-0,022305
127,785;7,42E-05;-7,08E-05;1,03E-04;0,0322071;-0,0223448
127,786;2,19E-05;-2,13E-05;3,05E-05;0,0320716;-0,0223835
127,787;6,63E-05;-6,33E-05;9,17E-05;0,0319412;-0,0224224
127,788;1,03E-05;-1,03E-05;1,46E-05;0,0318182;-0,0224627
127,789;-8,41E-05;7,89E-05;1,15E-04;0,0317044;-0,0225059
127,79;0,000132861;-6,94E-05;1,50E-04;0,0316009;-0,0225532
127,791;0,000240681;-0,00024764;3,45E-04;0,0315084;-0,0226055
127,792;0,000240128;-6,77E-05;2,49E-04;0,0314271;-0,0226637
127,793;0,00012333;-0,00011726;1,70E-04;0,0313568;-0,0227283
127,794;0,000125317;-0,00034585;3,68E-04;0,031297;-0,0227995
127,795;0,000262532;6,61E-05;2,71E-04;0,0312466;-0,0228773
127,796;5,27E-05;-5,14E-05;7,36E-05;0,0312043;-0,0229614
127,797;8,52E-05;-0,000293593;3,06E-04;0,0311684;-0,0230513
127,798;0,00018215;2,90E-05;1,84E-04;0,0311368;-0,0231464
127,799;0,000165392;-0,00015653;2,28E-04;0,0311077;-0,0232457
127,8;8,65E-05;-8,29E-05;1,20E-04;0,0310791;-0,0233482
127,801;3,90E-05;-3,78E-05;5,43E-05;0,0310492;-0,023453
127,802;-1,69E-05;1,49E-05;2,25E-05;0,0310165;-0,0235589
127,803;0,00010958;-4,44E-05;1,18E-04;0,0309797;-0,0236649
127,804;0,000210674;-0,000317339;3,81E-04;0,0309381;-0,0237699
127,805;0,000372515;0,000161016;4,06E-04;0,0308911;-0,0238731
127,806;0,000184268;5,30E-06;1,84E-04;0,0308387;-0,0239738
127,807;0,000298941;-0,000114804;3,20E-04;0,0307811;-0,0240715
127,808;0,000298928;-2,72E-05;3,00E-04;0,030719;-0,0241659
127,809;0,00018784;-1,71E-05;1,89E-04;0,0306531;-0,0242568
127,81;0,000270474;-0,000243284;3,64E-04;0,0305845;-0,0243444
127,811;0,000412201;0,000272872;4,94E-04;0,0305139;-0,024429
127,812;0,000219003;0,000106443;2,44E-04;0,0304424;-0,024511
127,813;0,000340206;-0,000108485;3,57E-04;0,0303217;-0,0245134
127,814;0,000153952;-2,49E-06;1,54E-04;0,0302276;-0,024579
127,815;0,00023982;-0,000265098;3,57E-04;0,0301832;-0,0246766
127,816;0,000328245;0,000190176;3,79E-04;0,0301764;-0,0247893
127,817;0,000105573;6,44E-05;1,24E-04;0,0301861;-0,0249098
127,818;0,000178789;5,24E-05;1,86E-04;0,0301932;-0,0250334
127,819;0,000240722;-0,000222938;3,28E-04;0,0301852;-0,0251562
127,82;0,000295348;0,000114743;3,17E-04;0,0301564;-0,0252746
127,821;6,07E-05;-1,35E-05;6,22E-05;0,0301069;-0,0253861
127,822;0,000250369;-5,68E-05;2,57E-04;0,0300399;-0,0254893
127,823;0,000137741;-1,86E-05;1,39E-04;0,0299602;-0,025584
127,824;0,000158442;-0,000141326;2,12E-04;0,0298728;-0,0256709
