sim_time; tb3_1?world_angular_velocity/x
127,895;-0,000136634
127,896;-0,000134901
127,897;-0,000133066
127,898;-0,000131189
127,899;-0,000129309
127,9;-0,00012744
127,901;-0,000125588
127,902;-0,000123762
127,903;-0,000121926
127,904;-0,000119996
127,905;-0,000118037
127,906;-0,000116139
127,907;-0,000114292
127,908;-0,000112475
127,909;-0,00011066
127,91;-0,00010876
127,911;-0,000106845
127,912;-0,000104954
127,913;-0,000225928
127,914;-0,000172509
127,915;-0,00016194
127,916;-0,000208978
127,917;-0,000255938
127,918;-0,000256662
127,919;-0,000203064
127,92;-0,000116041
127,921;-2,57E-05
127,922;4,36E-05
127,923;7,97E-05
127,924;8,29E-05
127,925;6,18E-05
127,926;2,83E-05
127,927;-6,61E-06
127,928;-3,55E-05
127,929;-5,48E-05
127,93;-6,46E-05
127,931;-6,70E-05
127,932;-6,53E-05
127,933;-6,22E-05
127,934;-5,93E-05
127,935;-5,78E-05
127,936;-5,88E-05
127,937;-6,17E-05
127,938;-6,56E-05
127,939;-6,95E-05
127,94;-7,26E-05
127,941;-7,51E-05
127,942;-7,68E-05
127,943;-7,74E-05
127,944;-7,74E-05
127,945;-7,73E-05
127,946;-7,72E-05
127,947;-7,73E-05
127,948;-7,76E-05
127,949;-7,78E-05
127,95;-7,81E-05
127,951;-7,86E-05
127,952;-7,94E-05
127,953;-8,04E-05
127,954;-8,15E-05
127,955;-8,26E-05
127,956;-8,38E-05
127,957;-8,52E-05
127,958;-8,72E-05
127,959;-8,99E-05
127,96;-9,33E-05
127,961;-9,80E-05
127,962;-0,000104697
127,963;-0,000115391
127,964;-0,00013044
127,965;-0,000148685
127,966;-0,000168468
127,967;-0,000188592
127,968;-0,000208571
127,969;-0,000229382
127,97;-0,000253841
127,971;-0,000273252
127,972;-0,000281126
127,973;-0,000276189
127,974;-0,000261237
127,975;-0,00024203
127,976;-0,000236794
127,977;-0,000166837
127,978;-0,000100144
127,979;-8,88E-05
127,98;-6,09E-07
127,981;6,22E-05
127,982;3,98E-05
127,983;9,29E-05
127,984;0,000115855
127,985;4,60E-05
127,986;0,000129065
127,987;0,000195326
127,988;0,000164196
127,989;0,000183482
127,99;0,000143341
127,991;0,000156858
127,992;0,000134759
127,993;9,84E-05
127,994;8,64E-05
127,995;4,98E-05
127,996;1,44E-05
127,997;-4,51E-05
127,998;-9,03E-05
127,999;-0,000145246
128;-0,000174771
128,001;-0,000206111
128,002;-0,000213108
128,003;-0,00022266
128,004;-0,000218055
128,005;-0,000219024
128,006;-0,000216091
128,007;-0,000219771
128,008;-0,000223692
128,009;-0,000230759
128,01;-0,000232844
128,011;-0,00022645
128,012;-0,000209665
128,013;-0,00114876
128,014;-0,00128451
