sim_time; tb3_1?world_linear_velocity/x
127,918;0,0227688
127,919;0,0226886
127,92;0,0226058
127,921;0,0225218
127,922;0,0224369
127,923;0,0223514
127,924;0,0222652
127,925;0,0221782
127,926;0,0220904
127,927;0,0220017
127,928;0,0219121
127,929;0,0218218
127,93;0,0217309
127,931;0,0216397
127,932;0,0215484
127,933;0,021457
127,934;0,0213657
127,935;0,0212744
127,936;0,0211831
127,937;0,0210919
127,938;0,0210007
127,939;0,0209095
127,94;0,0208182
127,941;0,0207268
127,942;0,0206353
127,943;0,0205436
127,944;0,0204517
127,945;0,0203597
127,946;0,0202675
127,947;0,0201752
127,948;0,0200826
127,949;0,01999
127,95;0,0198971
127,951;0,019804
127,952;0,0197108
127,953;0,0196174
127,954;0,0195238
127,955;0,01943
127,956;0,0193361
127,957;0,019242
127,958;0,0191478
127,959;0,0190533
127,96;0,0189588
127,961;0,018864
127,962;0,018769
127,963;0,0186738
127,964;0,0185784
127,965;0,0184827
127,966;0,0183869
127,967;0,0182909
127,968;0,0181948
127,969;0,0180981
127,97;0,0180008
127,971;0,0179031
127,972;0,0178047
127,973;0,0177058
127,974;0,0176065
127,975;0,0175075
127,976;0,0174146
127,977;0,0173226
127,978;0,0172299
127,979;0,0171459
127,98;0,0170602
127,981;0,0169717
127,982;0,0168903
127,983;0,0168047
127,984;0,0167141
127,985;0,0166345
127,986;0,0165492
127,987;0,0164583
127,988;0,0163694
127,989;0,016274
127,99;0,0161802
127,991;0,016081
127,992;0,0159923
127,993;0,0158894
127,994;0,0157936
127,995;0,0156928
127,996;0,0155975
127,997;0,0154956
127,998;0,0153993
127,999;0,0152964
128;0,0151991
128,001;0,0150959
128,002;0,0149976
128,003;0,014895
128,004;0,014796
128,005;0,0146944
128,006;0,0145951
128,007;0,0144944
128,008;0,0143947
128,009;0,0142943
128,01;0,0141949
128,011;0,0140944
128,012;0,0139941
128,013;0,0140012
128,014;0,0139684
128,015;0,0139017
128,016;0,0138141
128,017;0,0137111
128,018;0,0136016
128,019;0,0134921
128,02;0,0133847
128,021;0,0132807
128,022;0,0131623
128,023;0,0130304
128,024;0,0129027
128,025;0,0127754
128,026;0,0126464
128,027;0,012515
128,028;0,012382
128,029;0,0122486
128,03;0,0121211
128,031;0,0120018
128,032;0,011889
128,033;0,0117814
128,034;0,0116777
128,035;0,0115772
128,036;0,0114789
128,037;0,0113824
128,038;0,0112872
128,039;0,0111931
128,04;0,0110996
128,041;0,0110068
128,042;0,0109144
128,043;0,0108224
128,044;0,0107309
128,045;0,0106397
128,046;0,0105489
128,047;0,0104585
128,048;0,0103685
128,049;0,0102847
128,05;0,0101979
128,051;0,0101099
128,052;0,0100213
128,053;0,00993899
128,054;0,00985315
128,055;0,00976549
128,056;0,00967678
128,057;0,00958772
128,058;0,00949879
128,059;0,00941016
128,06;0,00932178
128,061;0,00923353
128,062;0,0091453
128,063;0,00905686
128,064;0,0089679
128,065;0,00887816
128,066;0,00878735
128,067;0,00869526
128,068;0,0086017
128,069;0,00850633
128,07;0,00840885
128,071;0,00830924
128,072;0,00820736
128,073;0,00810342
128,074;0,00799748
128,075;0,00788987
128,076;0,00778082
128,077;0,00767074
128,078;0,00755986
128,079;0,0074486
128,08;0,00733729
128,081;0,00722632
128,082;0,00711578
128,083;0,00700524
128,084;0,00689533
128,085;0,00678639
128,086;0,00667872
128,087;0,0065725
128,088;0,00646775
128,089;0,00636447
128,09;0,00626263
128,091;0,00616208
128,092;0,00606257
128,093;0,00596386
128,094;0,00586575
128,095;0,00576804
128,096;0,00567054
128,097;0,00557309
128,098;0,00547549
128,099;0,00537766
128,1;0,0052795
128,101;0,00518097
128,102;0,00508202
128,103;0,00498265
128,104;0,00488291
128,105;0,00478281
128,106;0,0046824
128,107;0,00458175
128,108;0,00448092
128,109;0,00437994
128,11;0,00427887
128,111;0,00417776
128,112;0,00407665
128,113;0,00396016
128,114;0,00388729
128,115;0,0038127
128,116;0,00372211
128,117;0,00361847
128,118;0,00351186
128,119;0,00340417
128,12;0,00329463
128,121;0,00318257
128,122;0,00306887
128,123;0,00295518
128,124;0,00284291
128,125;0,00273288
128,126;0,00262539
128,127;0,00252042
128,128;0,00241787
128,129;0,00231758
128,13;0,00221932
128,131;0,00212274
128,132;0,00202738
128,133;0,00193277
128,134;0,00183836
128,135;0,00174368
128,136;0,00164834
128,137;0,00155204
128,138;0,00145465
128,139;0,00135614
128,14;0,00125659
128,141;0,00115613
128,142;0,00105497
128,143;0,000953312
128,144;0,000851384
128,145;0,000749917
128,146;0,000648526
128,147;0,000547044
128,148;0,000444926
128,149;0,000341984
128,15;0,000239212
128,151;0,000135871
128,152;3,26E-05
128,153;-7,03E-05
128,154;-0,000172722
128,155;-0,000274549
128,156;-0,000375728
128,157;-0,000477578
128,158;-0,000579432
128,159;-0,000681291
128,16;-0,000783
128,161;-0,000884508
128,162;-0,000985829
128,163;-0,00108701
128,164;-0,00118811
128,165;-0,00128918
128,166;-0,00139025
128,167;-0,00149135
128,168;-0,00159246
128,169;-0,00169359
128,17;-0,00179473
128,171;-0,00189587
128,172;-0,001997
128,173;-0,00209812
128,174;-0,00219922
128,175;-0,00230031
128,176;-0,00240139
128,177;-0,00250246
128,178;-0,00260353
128,179;-0,00270459
128,18;-0,00280564
128,181;-0,0029067
128,182;-0,00300775
128,183;-0,00310879
128,184;-0,00320983
128,185;-0,00331087
128,186;-0,00341191
128,187;-0,00351294
128,188;-0,00361397
128,189;-0,00371502
128,19;-0,00381607
128,191;-0,0039171
128,192;-0,00401813
128,193;-0,00411915
128,194;-0,00422017
128,195;-0,00432119
128,196;-0,0044222
128,197;-0,00452319
128,198;-0,00462414
128,199;-0,00472507
128,2;-0,00482596
128,201;-0,00492685
128,202;-0,00502772
128,203;-0,00512857
128,204;-0,00522941
