sim_time, tb3_0?world_pose/position/y
127.598, -0.0581525
127.599, -0.0581525
127.6, -0.0581527
127.601, -0.0581527
127.602, -0.0581526
127.603, -0.0581527
127.604, -0.0581527
127.605, -0.0581527
127.606, -0.0581527
127.607, -0.0581528
127.608, -0.0581528
127.609, -0.0581527
127.61, -0.0581528
127.611, -0.0581528
127.612, -0.0581528
127.613, -0.0581526
127.614, -0.0581526
127.615, -0.0581526
127.616, -0.0581527
127.617, -0.0581526
127.618, -0.0581526
127.619, -0.0581526
127.62, -0.0581526
127.621, -0.0581528
127.622, -0.0581527
127.623, -0.0581526
127.624, -0.0581525
127.625, -0.0581524
127.626, -0.0581524
127.627, -0.0581524
127.628, -0.0581524
127.629, -0.0581525
127.63, -0.0581525
127.631, -0.0581526
127.632, -0.0581527
127.633, -0.0581528
127.634, -0.0581529
127.635, -0.0581531
127.636, -0.0581531
127.637, -0.0581533
127.638, -0.0581534
127.639, -0.0581535
127.64, -0.0581534
127.641, -0.0581537
127.642, -0.0581538
127.643, -0.0581541
127.644, -0.0581545
127.645, -0.0581551
127.646, -0.0581555
127.647, -0.058156
127.648, -0.0581565
127.649, -0.0581569
127.65, -0.0581573
127.651, -0.0581577
127.652, -0.0581581
127.653, -0.0581585
127.654, -0.0581588
127.655, -0.0581592
127.656, -0.0581595
127.657, -0.0581598
127.658, -0.05816
127.659, -0.0581603
127.66, -0.0581606
127.661, -0.0581608
127.662, -0.058161
127.663, -0.0581612
127.664, -0.0581613
127.665, -0.0581615
127.666, -0.0581616
127.667, -0.0581618
127.668, -0.0581619
127.669, -0.058162
127.67, -0.0581621
127.671, -0.0581622
127.672, -0.0581623
127.673, -0.0581623
127.674, -0.0581625
127.675, -0.0581626
127.676, -0.0581627
127.677, -0.0581627
127.678, -0.0581629
127.679, -0.058163
127.68, -0.0581631
127.681, -0.0581632
127.682, -0.0581633
127.683, -0.0581635
127.684, -0.0581635
127.685, -0.0581636
127.686, -0.0581637
127.687, -0.0581638
127.688, -0.0581641
127.689, -0.0581642
127.69, -0.0581643
127.691, -0.0581644
127.692, -0.0581645
127.693, -0.0581645
127.694, -0.0581646
127.695, -0.0581646
127.696, -0.0581646
127.697, -0.0581647
127.698, -0.0581647
127.699, -0.0581647
127.7, -0.0581648
127.701, -0.0581647
127.702, -0.0581647
127.703, -0.0581648
127.704, -0.058165
127.705, -0.0581649
127.706, -0.0581648
127.707, -0.0581649
127.708, -0.0581649
127.709, -0.0581649
127.71, -0.0581649
127.711, -0.0581649
127.712, -0.0581649
127.713, -0.0581649
127.714, -0.0581648
127.715, -0.0581648
127.716, -0.0581649
127.717, -0.0581646
127.718, -0.0581646
127.719, -0.0581645
127.72, -0.0581646
127.721, -0.0581647
127.722, -0.0581644
127.723, -0.0581643
127.724, -0.0581642
127.725, -0.0581642
127.726, -0.0581643
127.727, -0.0581643
127.728, -0.0581643
127.729, -0.058164
127.73, -0.0581637
127.731, -0.0581635
127.732, -0.0581633
127.733, -0.0581632
127.734, -0.0581632
127.735, -0.0581631
127.736, -0.0581631
127.737, -0.0581632
127.738, -0.0581632
127.739, -0.0581633
127.74, -0.0581633
127.741, -0.0581634
127.742, -0.0581634
127.743, -0.0581633
127.744, -0.0581631
127.745, -0.0581629
127.746, -0.0581627
127.747, -0.0581623
127.748, -0.058162
127.749, -0.0581617
127.75, -0.0581614
127.751, -0.0581613
127.752, -0.058161
127.753, -0.0581608
127.754, -0.0581607
127.755, -0.0581606
127.756, -0.0581604
127.757, -0.0581604
127.758, -0.0581604
127.759, -0.0581603
127.76, -0.0581603
127.761, -0.0581604
127.762, -0.0581604
127.763, -0.0581605
127.764, -0.0581606
127.765, -0.0581606
127.766, -0.0581606
127.767, -0.0581607
127.768, -0.0581606
127.769, -0.0581607
127.77, -0.0581607
127.771, -0.0581607
127.772, -0.0581609
127.773, -0.0581609
127.774, -0.058161
127.775, -0.0581611
127.776, -0.0581612
127.777, -0.0581613
127.778, -0.0581614
127.779, -0.0581614
127.78, -0.0581616
127.781, -0.0581616
127.782, -0.0581617
127.783, -0.0581617
127.784, -0.0581618
127.785, -0.0581618
127.786, -0.0581618
127.787, -0.0581619
127.788, -0.0581619
127.789, -0.0581618
127.79, -0.0581619
127.791, -0.0581621
127.792, -0.0581622
127.793, -0.0581623
127.794, -0.0581626
127.795, -0.0581626
127.796, -0.0581626
127.797, -0.0581629
127.798, -0.0581629
127.799, -0.058163
127.8, -0.0581631
127.801, -0.0581631
127.802, -0.0581631
127.803, -0.0581632
127.804, -0.0581635
127.805, -0.0581633
127.806, -0.0581633
127.807, -0.0581634
127.808, -0.0581634
127.809, -0.0581635
127.81, -0.0581637
127.811, -0.0581634
127.812, -0.0581633
127.813, -0.0581634
127.814, -0.0581634
127.815, -0.0581637
127.816, -0.0581635
127.817, -0.0581634
127.818, -0.0581634
127.819, -0.0581636
127.82, -0.0581635
127.821, -0.0581635
127.822, -0.0581635
127.823, -0.0581635
127.824, -0.0581637
127.825, -0.0581635
127.826, -0.0581635
