sim_time, tb3_1?world_pose/position/y
127.853, 0.0835385
127.854, 0.0835106
127.855, 0.0834826
127.856, 0.0834546
127.857, 0.0834264
127.858, 0.0833982
127.859, 0.08337
127.86, 0.0833416
127.861, 0.0833132
127.862, 0.0832847
127.863, 0.0832562
127.864, 0.0832275
127.865, 0.0831988
127.866, 0.08317
127.867, 0.0831412
127.868, 0.0831123
127.869, 0.0830833
127.87, 0.0830542
127.871, 0.0830251
127.872, 0.0829959
127.873, 0.0829666
127.874, 0.0829373
127.875, 0.0829079
127.876, 0.0828784
127.877, 0.0828489
127.878, 0.0828193
127.879, 0.0827896
127.88, 0.0827598
127.881, 0.08273
127.882, 0.0827001
127.883, 0.0826702
127.884, 0.0826402
127.885, 0.0826101
127.886, 0.0825799
127.887, 0.0825497
127.888, 0.0825194
127.889, 0.0824891
127.89, 0.0824587
127.891, 0.0824282
127.892, 0.0823976
127.893, 0.082367
127.894, 0.0823363
127.895, 0.0823056
127.896, 0.0822748
127.897, 0.0822439
127.898, 0.082213
127.899, 0.082182
127.9, 0.0821509
127.901, 0.0821198
127.902, 0.0820886
127.903, 0.0820574
127.904, 0.0820261
127.905, 0.0819947
127.906, 0.0819633
127.907, 0.0819318
127.908, 0.0819002
127.909, 0.0818686
127.91, 0.0818369
127.911, 0.0818052
127.912, 0.0817734
127.913, 0.0817415
127.914, 0.0817094
127.915, 0.0816773
127.916, 0.0816451
127.917, 0.0816128
127.918, 0.0815805
127.919, 0.081548
127.92, 0.0815155
127.921, 0.081483
127.922, 0.0814504
127.923, 0.0814177
127.924, 0.081385
127.925, 0.0813522
127.926, 0.0813194
127.927, 0.0812865
127.928, 0.0812536
127.929, 0.0812206
127.93, 0.0811875
127.931, 0.0811544
127.932, 0.0811213
127.933, 0.0810881
127.934, 0.0810548
127.935, 0.0810215
127.936, 0.0809882
127.937, 0.0809547
127.938, 0.0809213
127.939, 0.0808878
127.94, 0.0808542
127.941, 0.0808206
127.942, 0.0807869
127.943, 0.0807532
127.944, 0.0807194
127.945, 0.0806856
127.946, 0.0806518
127.947, 0.0806179
127.948, 0.0805839
127.949, 0.0805499
127.95, 0.0805159
127.951, 0.0804818
127.952, 0.0804476
127.953, 0.0804134
127.954, 0.0803792
127.955, 0.0803449
127.956, 0.0803106
127.957, 0.0802763
127.958, 0.0802419
127.959, 0.0802074
127.96, 0.0801729
127.961, 0.0801384
127.962, 0.0801038
127.963, 0.0800692
127.964, 0.0800345
127.965, 0.0799998
127.966, 0.0799651
127.967, 0.0799303
127.968, 0.0798955
127.969, 0.0798606
127.97, 0.0798257
127.971, 0.0797908
127.972, 0.0797558
127.973, 0.0797208
127.974, 0.0796857
127.975, 0.0796506
127.976, 0.0796155
127.977, 0.0795804
127.978, 0.0795452
127.979, 0.07951
127.98, 0.0794747
127.981, 0.0794395
127.982, 0.0794042
127.983, 0.0793689
127.984, 0.0793335
127.985, 0.0792981
127.986, 0.0792627
127.987, 0.0792273
127.988, 0.0791919
127.989, 0.0791564
127.99, 0.0791209
127.991, 0.0790853
127.992, 0.0790498
127.993, 0.0790142
127.994, 0.0789785
127.995, 0.0789428
127.996, 0.0789071
127.997, 0.0788714
127.998, 0.0788356
127.999, 0.0787998
128, 0.078764
128.001, 0.0787281
128.002, 0.0786922
128.003, 0.0786563
128.004, 0.0786203
128.005, 0.0785844
128.006, 0.0785484
128.007, 0.0785123
128.008, 0.0784763
128.009, 0.0784402
128.01, 0.0784041
128.011, 0.078368
128.012, 0.0783319
128.013, 0.0782955
128.014, 0.0782589
128.015, 0.0782222
128.016, 0.0781855
128.017, 0.0781487
128.018, 0.0781119
128.019, 0.0780751
128.02, 0.0780382
128.021, 0.0780014
128.022, 0.0779645
128.023, 0.0779277
128.024, 0.0778909
128.025, 0.077854
128.026, 0.0778172
128.027, 0.0777803
128.028, 0.0777434
128.029, 0.0777066
128.03, 0.0776697
128.031, 0.0776329
128.032, 0.077596
128.033, 0.0775591
128.034, 0.0775223
128.035, 0.0774854
128.036, 0.0774485
128.037, 0.0774117
128.038, 0.0773748
128.039, 0.0773379
128.04, 0.077301
128.041, 0.0772641
128.042, 0.0772272
128.043, 0.0771902
128.044, 0.0771532
128.045, 0.0771162
128.046, 0.0770791
128.047, 0.0770419
128.048, 0.0770047
128.049, 0.0769675
128.05, 0.0769302
128.051, 0.0768928
128.052, 0.0768553
128.053, 0.0768178
128.054, 0.0767802
128.055, 0.0767426
128.056, 0.0767049
128.057, 0.0766671
128.058, 0.0766293
128.059, 0.0765914
128.06, 0.0765534
128.061, 0.0765154
128.062, 0.0764774
128.063, 0.0764393
128.064, 0.0764011
128.065, 0.0763629
128.066, 0.0763247
128.067, 0.0762865
128.068, 0.0762483
128.069, 0.07621
128.07, 0.0761718
128.071, 0.0761335
128.072, 0.0760952
128.073, 0.076057
128.074, 0.0760188
128.075, 0.0759805
128.076, 0.0759423
128.077, 0.0759041
128.078, 0.0758659
128.079, 0.0758277
128.08, 0.0757895
128.081, 0.0757513
128.082, 0.0757131
128.083, 0.0756749
128.084, 0.0756367
128.085, 0.0755985
128.086, 0.0755602
128.087, 0.075522
128.088, 0.0754837
128.089, 0.0754454
128.09, 0.0754071
128.091, 0.0753687
128.092, 0.0753304
128.093, 0.075292
128.094, 0.0752536
128.095, 0.0752152
128.096, 0.0751768
128.097, 0.0751383
128.098, 0.0750999
128.099, 0.0750614
128.1, 0.0750229
128.101, 0.0749844
128.102, 0.0749459
128.103, 0.0749074
128.104, 0.0748689
128.105, 0.0748303
128.106, 0.0747918
128.107, 0.0747532
128.108, 0.0747147
128.109, 0.0746761
128.11, 0.0746375
128.111, 0.0745989
128.112, 0.0745603
128.113, 0.0745216
128.114, 0.0744828
128.115, 0.0744441
128.116, 0.0744053
128.117, 0.0743666
128.118, 0.074328
128.119, 0.0742894
128.12, 0.0742508
128.121, 0.0742123
128.122, 0.0741737
128.123, 0.0741351
128.124, 0.0740965
128.125, 0.0740579
128.126, 0.0740193
128.127, 0.0739807
128.128, 0.073942
128.129, 0.0739033
128.13, 0.0738646
128.131, 0.0738259
128.132, 0.0737872
128.133, 0.0737485
128.134, 0.0737097
128.135, 0.0736709
128.136, 0.0736322
128.137, 0.0735934
128.138, 0.0735546
128.139, 0.0735158
128.14, 0.0734771
128.141, 0.0734383
128.142, 0.0733995
128.143, 0.0733607
128.144, 0.0733219
128.145, 0.0732831
128.146, 0.0732444
128.147, 0.0732056
128.148, 0.0731668
128.149, 0.073128
128.15, 0.0730892
128.151, 0.0730504
128.152, 0.0730116
128.153, 0.0729728
128.154, 0.072934
128.155, 0.0728952
128.156, 0.0728564
128.157, 0.0728176
128.158, 0.0727788
128.159, 0.07274
128.16, 0.0727012
128.161, 0.0726624
128.162, 0.0726236
128.163, 0.0725848
128.164, 0.0725461
128.165, 0.0725073
128.166, 0.0724685
128.167, 0.0724297
128.168, 0.0723909
128.169, 0.0723521
128.17, 0.0723134
128.171, 0.0722746
128.172, 0.0722358
128.173, 0.072197
128.174, 0.0721583
128.175, 0.0721195
128.176, 0.0720808
128.177, 0.072042
128.178, 0.0720033
128.179, 0.0719645
128.18, 0.0719258
128.181, 0.0718871
128.182, 0.0718483
128.183, 0.0718096
128.184, 0.0717709
128.185, 0.0717322
128.186, 0.0716935
128.187, 0.0716548
128.188, 0.0716161
128.189, 0.0715774
128.19, 0.0715388
128.191, 0.0715001
128.192, 0.0714615
128.193, 0.0714228
128.194, 0.0713842
128.195, 0.0713455
128.196, 0.0713069
128.197, 0.0712683
128.198, 0.0712297
128.199, 0.0711911
128.2, 0.0711525
128.201, 0.0711139
128.202, 0.0710753
128.203, 0.0710367
128.204, 0.0709982
128.205, 0.0709596
128.206, 0.0709211
128.207, 0.0708826
128.208, 0.070844
128.209, 0.0708055
128.21, 0.070767
128.211, 0.0707285
128.212, 0.0706901
128.213, 0.0706514
128.214, 0.0706125
128.215, 0.0705734
128.216, 0.070534
128.217, 0.0704945
128.218, 0.0704546
128.219, 0.0704145
128.22, 0.0703741
128.221, 0.0703335
128.222, 0.0702928
128.223, 0.0702518
128.224, 0.0702106
128.225, 0.0701692
128.226, 0.0701275
128.227, 0.0700856
128.228, 0.0700435
128.229, 0.0700013
128.23, 0.069959
128.231, 0.0699167
128.232, 0.0698745
128.233, 0.0698324
128.234, 0.0697903
128.235, 0.0697483
128.236, 0.0697065
128.237, 0.0696648
128.238, 0.0696232
128.239, 0.0695818
128.24, 0.0695405
128.241, 0.0694993
128.242, 0.0694583
128.243, 0.0694174
128.244, 0.0693766
128.245, 0.069336
128.246, 0.069295
128.247, 0.0692537
128.248, 0.069212
128.249, 0.0691701
128.25, 0.0691279
128.251, 0.0690854
128.252, 0.0690427
128.253, 0.0689996
128.254, 0.0689562
128.255, 0.0689125
128.256, 0.0688685
128.257, 0.0688241
128.258, 0.0687793
128.259, 0.0687342
128.26, 0.0686887
128.261, 0.0686429
128.262, 0.0685967
128.263, 0.0685503
128.264, 0.0685035
128.265, 0.0684563
128.266, 0.0684088
128.267, 0.068361
128.268, 0.0683128
128.269, 0.0682642
128.27, 0.0682153
128.271, 0.068166
128.272, 0.0681164
128.273, 0.0680665
128.274, 0.0680163
128.275, 0.0679658
128.276, 0.0679151
128.277, 0.067864
128.278, 0.0678126
128.279, 0.0677609
128.28, 0.067709
128.281, 0.0676568
128.282, 0.0676043
128.283, 0.0675517
128.284, 0.0674988
128.285, 0.0674456
128.286, 0.0673922
128.287, 0.0673386
128.288, 0.0672848
128.289, 0.0672308
128.29, 0.0671766
128.291, 0.0671222
128.292, 0.0670676
128.293, 0.0670129
128.294, 0.066958
128.295, 0.0669029
128.296, 0.0668476
128.297, 0.0667922
128.298, 0.0667367
128.299, 0.066681
128.3, 0.0666252
128.301, 0.0665692
128.302, 0.0665132
128.303, 0.066457
128.304, 0.0664007
128.305, 0.0663443
128.306, 0.0662878
