sim_time; tb3_0?world_linear_velocity/y
127,882;-0,000653422
127,883;-0,000426666
127,884;-0,000719039
127,885;-0,000378757
127,886;-0,000646873
127,887;-0,000373544
127,888;-0,000653604
127,889;-0,00033608
127,89;-0,00060521
127,891;-0,000312189
127,892;-0,000583445
127,893;-0,000275185
127,894;-0,000539037
127,895;-0,000244047
127,896;-0,000506629
127,897;-0,000209728
127,898;-0,000466051
127,899;-0,000180428
127,9;-0,000432401
127,901;-0,000152154
127,902;-0,000398725
127,903;-0,00012929
127,904;-0,000372213
127,905;-0,000109914
127,906;-0,00034766
127,907;-9,55E-05
127,908;-0,000328168
127,909;-8,52E-05
127,91;-0,000170549
127,911;-0,000137572
127,912;-0,000187687
127,913;-7,88E-05
127,914;-0,000144437
127,915;-0,000205231
127,916;-0,000163394
127,917;-0,000251035
127,918;-0,000165475
127,919;-0,000221503
127,92;-0,000267015
127,921;-0,000224719
127,922;-0,000298198
127,923;-0,000229865
127,924;-0,000255604
127,925;-0,000247219
127,926;-0,000304033
127,927;-0,000189116
127,928;-0,000233127
127,929;-0,000257266
127,93;-0,000313184
127,931;-0,000217025
127,932;-0,000262913
127,933;-0,000259587
127,934;-0,000324954
127,935;-0,000343885
127,936;-0,000220197
127,937;-0,000278924
127,938;-0,000327873
127,939;-0,000419351
127,94;-0,000488696
127,941;-0,00051963
127,942;-0,000599093
127,943;-0,000676439
127,944;-0,000743004
127,945;-0,000839958
127,946;-0,000894604
127,947;-0,000994682
127,948;-0,00105537
127,949;-0,00111676
127,95;-0,00118413
127,951;-0,00125841
127,952;-0,00129752
127,953;-0,00134698
127,954;-0,00142176
127,955;-0,00147085
127,956;-0,00150264
127,957;-0,00152413
127,958;-0,00154232
127,959;-0,0015629
127,96;-0,00158725
127,961;-0,00150228
127,962;-0,00160085
127,963;-0,00166657
127,964;-0,00181742
127,965;-0,00183023
127,966;-0,00177668
127,967;-0,00191893
127,968;-0,00190346
127,969;-0,001836
127,97;-0,00200712
127,971;-0,00195128
127,972;-0,00187093
127,973;-0,00207427
127,974;-0,00201598
127,975;-0,00195992
127,976;-0,00216409
127,977;-0,00212488
127,978;-0,00218632
127,979;-0,00219073
127,98;-0,00241143
127,981;-0,00243489
127,982;-0,00256789
127,983;-0,00260037
127,984;-0,0028218
127,985;-0,002863
127,986;-0,00303108
127,987;-0,00314434
127,988;-0,00339894
127,989;-0,00347723
127,99;-0,00367473
127,991;-0,00375224
127,992;-0,00397575
127,993;-0,00413777
127,994;-0,00438284
127,995;-0,00449981
127,996;-0,00442333
127,997;-0,00431764
127,998;-0,00440915
127,999;-0,0045313
128;-0,00455601
128,001;-0,00469952
128,002;-0,00452905
128,003;-0,00463348
128,004;-0,00442274
128,005;-0,00436912
128,006;-0,00414384
128,007;-0,00413413
128,008;-0,00404383
128,009;-0,00400473
128,01;-0,00393612
128,011;-0,00386533
128,012;-0,00386274
128,013;-0,00384368
128,014;-0,0038326
128,015;-0,00385836
128,016;-0,00397647
128,017;-0,00398974
128,018;-0,00412216
128,019;-0,00414065
128,02;-0,00422083
128,021;-0,00422597
128,022;-0,00423213
128,023;-0,00431853
128,024;-0,00425543
128,025;-0,00431878
128,026;-0,0042461
128,027;-0,00418353
128,028;-0,00416583
128,029;-0,00409096
128,03;-0,00406647
128,031;-0,00399637
128,032;-0,00397198
128,033;-0,00392362
128,034;-0,00392537
128,035;-0,00389347
128,036;-0,00392347
128,037;-0,00390569
128,038;-0,003909
128,039;-0,00391124
128,04;-0,003986
128,041;-0,00399013
128,042;-0,00413609
128,043;-0,00402972
128,044;-0,0039906
128,045;-0,00400203
128,046;-0,00418882
128,047;-0,00407962
128,048;-0,00405135
128,049;-0,00405886
128,05;-0,00405604
128,051;-0,00407359
128,052;-0,00405498
128,053;-0,00403373
128,054;-0,00410032
128,055;-0,00406574
128,056;-0,00405227
128,057;-0,00404689
128,058;-0,00405314
128,059;-0,00410204
128,06;-0,00407739
128,061;-0,0041682
128,062;-0,00412098
128,063;-0,00412143
128,064;-0,00406397
128,065;-0,00398644
128,066;-0,00409239
128,067;-0,00402098
128,068;-0,00392969
128,069;-0,00395008
128,07;-0,00400979
128,071;-0,00404924
128,072;-0,00405903
128,073;-0,00404967
128,074;-0,00403279
128,075;-0,00401375
128,076;-0,00399361
128,077;-0,00397083
128,078;-0,00399124
128,079;-0,00399851
128,08;-0,00402968
128,081;-0,00419851
128,082;-0,00428017
128,083;-0,00433962
128,084;-0,00437515
128,085;-0,00455788
128,086;-0,0046418
128,087;-0,00473205
128,088;-0,00479811
128,089;-0,00493566
128,09;-0,00495769
128,091;-0,0049879
128,092;-0,00496551
128,093;-0,00499387
128,094;-0,0049365
128,095;-0,00489817
128,096;-0,00483334
128,097;-0,00481707
128,098;-0,00471383
128,099;-0,0046755
128,1;-0,00457772
128,101;-0,00456064
128,102;-0,00385518
128,103;-0,00360335
128,104;-0,00333397
128,105;-0,00272802
128,106;-0,00240123
128,107;-0,00221099
128,108;-0,0019072
128,109;-0,00172001
128,11;-0,00176965
128,111;-0,00174346
128,112;-0,00169167
128,113;-0,00158229
128,114;-0,00145406
128,115;-0,00139012
128,116;-0,0011187
128,117;-0,000976405
128,118;-0,000733266
128,119;-0,000603474
128,12;-0,000183954
128,121;3,03E-05
128,122;-5,07E-05
128,123;-6,02E-05
128,124;-5,20E-05
128,125;-0,000132806
128,126;0,000194187
128,127;6,88E-05
128,128;5,05E-05
128,129;4,13E-05
128,13;-3,32E-05
128,131;-0,000138514
128,132;0,00018341
128,133;4,93E-05
128,134;-6,03E-05
128,135;0,000121482
128,136;4,07E-05
128,137;-3,88E-05
128,138;0,000157087
128,139;6,96E-05
128,14;0,000108941
128,141;0,000210162
128,142;0,000223114
128,143;0,00017861
128,144;0,000391455
128,145;0,000315265
128,146;0,000109123
128,147;0,000314682
128,148;0,00032076
128,149;0,000338183
128,15;0,000305535
128,151;0,000286702
128,152;0,000313242
128,153;0,000221388
128,154;0,000149792
128,155;0,000199454
128,156;0,000108278
128,157;5,80E-05
128,158;-3,49E-06
128,159;0,000107538
128,16;2,85E-05
128,161;3,08E-05
128,162;6,50E-05
128,163;4,53E-05
128,164;9,22E-05
128,165;8,47E-05
128,166;8,92E-05
128,167;0,00011394
128,168;7,34E-05
128,169;7,08E-05
128,17;-2,52E-05
128,171;3,07E-05
128,172;3,90E-05
128,173;8,37E-05
128,174;2,42E-05
128,175;0,000152196
128,176;2,92E-05
128,177;-1,59E-05
128,178;-6,17E-05
128,179;-7,47E-05
128,18;-7,01E-05
128,181;-0,000104933
128,182;-4,45E-05
128,183;-6,22E-05
128,184;-4,79E-05
128,185;-0,000259556
128,186;-3,49E-06
128,187;-0,000193031
128,188;-6,56E-05
128,189;-0,000313971
128,19;-5,62E-05
128,191;-0,000301615
128,192;-0,0001503
128,193;-0,000436765
128,194;-0,000178954
128,195;-0,000470319
128,196;-0,000392277
128,197;-0,000385015
128,198;-0,000690505
128,199;-0,000353516
128,2;-0,000669442
128,201;-0,000531287
128,202;-0,000528363
128,203;-0,000822366
128,204;-0,000424624
128,205;-0,000696417
128,206;-0,000521443
128,207;-0,000485701
128,208;-0,00049081
128,209;-0,000337473
128,21;-0,000624198
128,211;-0,00025291
128,212;-0,000351419
128,213;-0,000306143
128,214;-0,000255834
128,215;-0,000579408
128,216;-0,000148571
128,217;-0,000409363
128,218;-0,000261207
128,219;-0,000218994
128,22;-0,000252835
128,221;-0,000103241
128,222;-0,000403546
128,223;1,88E-06
128,224;-0,000106614
128,225;-8,95E-05
128,226;-0,000399937
128,227;7,68E-06
128,228;-9,65E-05
128,229;-0,000191346
128,23;-6,57E-05
128,231;-0,000367852
128,232;2,35E-05
128,233;-0,00021918
128,234;2,44E-05
128,235;-0,00026144
128,236;1,33E-05
128,237;-0,00022998
128,238;2,16E-05
128,239;-0,000229964
128,24;1,19E-05
128,241;-3,31E-05
128,242;-0,000134821
128,243;-2,92E-05
128,244;-0,00010711
128,245;9,05E-06
128,246;-8,02E-05
128,247;2,13E-05
128,248;-4,68E-05
128,249;-0,000160559
128,25;4,97E-05
128,251;-3,56E-05
128,252;8,40E-05
128,253;-2,83E-05
128,254;-0,00011654
128,255;8,40E-05
128,256;-2,49E-05
128,257;-0,000103499
128,258;0,000117565
128,259;5,91E-06
128,26;-5,92E-05
128,261;-0,000121356
128,262;4,43E-05
128,263;5,60E-05
128,264;-1,71E-05
128,265;-6,60E-05
128,266;3,15E-06
128,267;3,94E-05
128,268;-0,000146311
128,269;-9,04E-05
128,27;-0,000130127
128,271;-0,000122203
128,272;-8,17E-05
128,273;-0,000120462
128,274;-0,000378851
128,275;-0,000145933
128,276;-0,000234155
128,277;-0,000239456
128,278;-0,000241689
128,279;-0,000255526
128,28;-0,000159001
128,281;-0,000170384
128,282;-3,92E-05
128,283;-0,000371831
128,284;-0,000227051
128,285;-0,000385506
128,286;-0,000433237
128,287;-0,000453134
128,288;-0,000454951
128,289;-0,000446806
128,29;-0,000433613
128,291;-0,000418884
128,292;-0,000401995
128,293;-0,000385053
128,294;-0,000371506
128,295;-0,000363322
128,296;-0,00036075
128,297;-0,000363321
128,298;-0,000367714
128,299;-0,000371632
128,3;-0,000374217
128,301;-0,000689576
128,302;-0,000375439
128,303;-0,000609482
128,304;-0,000473443
128,305;-0,000475664
128,306;-0,000463911
128,307;-0,000322797
128,308;-0,000351582
128,309;-0,000341834
128,31;-0,000339265
128,311;-0,000286493
128,312;-0,000292649
128,313;-0,000238991
128,314;-0,000279591
128,315;-0,000273261
128,316;-0,000263643
128,317;-0,000204537
128,318;-0,000193183
128,319;-0,000224588
128,32;-0,000230378
128,321;-0,000215018
128,322;-0,000204234
128,323;-0,000230895
128,324;-0,000228396
128,325;-0,000191015
128,326;-0,000170877
128,327;-0,000193241
128,328;-0,000186857
128,329;-0,000135385
128,33;-0,000120348
128,331;-0,000135061
128,332;-0,000124764
128,333;-5,95E-05
128,334;-5,02E-05
128,335;-5,81E-05
128,336;-0,000122047
128,337;-3,49E-05
128,338;-1,12E-05
128,339;-4,62E-05
128,34;-0,000116155
128,341;-5,95E-06
128,342;3,53E-05
128,343;-0,000230515
128,344;-7,13E-05
128,345;-0,00011065
128,346;-1,46E-05
128,347;3,71E-05
128,348;-0,00016211
128,349;-0,000113731
128,35;-0,000114203
128,351;5,21E-05
128,352;5,35E-05
128,353;-2,79E-05
128,354;-9,55E-05
128,355;9,82E-05
128,356;3,76E-05
128,357;-2,19E-05
128,358;-8,33E-05
128,359;4,39E-05
128,36;-1,94E-05
128,361;0,00021126
128,362;9,75E-05
128,363;4,33E-05
128,364;-2,06E-05
128,365;-6,23E-05
128,366;-8,37E-05
128,367;0,000261733
128,368;0,00012053
128,369;8,34E-05
128,37;3,85E-05
128,371;8,55E-06
128,372;-1,65E-07
128,373;-1,26E-05
128,374;-6,56E-06
128,375;1,15E-05
128,376;0,000172094
128,377;0,000125167
128,378;0,000101862
128,379;0,000146258
128,38;0,000117135
128,381;7,27E-05
128,382;5,08E-05
128,383;3,08E-05
128,384;1,41E-05
128,385;7,29E-05
128,386;6,74E-05
128,387;1,92E-05
