x;y;norme;cmd;erreur;rosbagTimestamp;;
3,31E-05;-8,77E-07;3,31268E-05;0,340011261;0,339978134;38696000000;0,999902572;
0,051931448;-1,13E-06;0,051931448;0,340011261;0,288079812;38696000000;0,847265504;0,019891473
0,132209941;5,86E-06;0,132209941;0,636458;0,504248059;38796000000;0,792272324;0,019891473
0,18562545;-0,000123392;0,185625491;0,583322862;0,397697371;38896000000;0,68177916;0,095097935
0,201701464;4,88E-05;0,20170147;0,570933765;0,369232295;38996000000;0,646716515;0,068360589
0,270244715;-2,96E-05;0,270244717;0,544407542;0,274162825;39096000000;0,503598506;
0,303533583;0,001066773;0,303535457;0,527873074;0,224337616;39196000000;0,424984011;
0,368252111;2,80E-06;0,368252111;0,486839387;0,118587277;39296000000;0,243586036;
0,403648674;0,00093533;0,403649758;0,70400979;0,300360032;39396000000;0,42664184;
0,468734381;4,42E-05;0,468734383;0,509679537;0,040945154;39496000000;0,080335095;
0,472648251;8,37E-05;0,472648259;0,463890308;-0,008757951;39597000000;-0,018879357;
0,508901602;7,07E-05;0,508901607;0,514892405;0,005990798;39697000000;0,011635049;
0,496387532;0,000208994;0,496387576;0,465987487;-0,030400089;39796000000;-0,065237994;
0,513883122;-3,26E-05;0,513883123;0,515261922;0,001378799;39896000000;0,002675919;
0,491493725;0,000153026;0,491493749;0,465586172;-0,025907577;39997000000;-0,055645073;
0,517519636;8,51E-05;0,517519643;0,531415652;0,013896008;40097000000;0,026149039;
0,501622533;0,000320144;0,501622635;0,465893738;-0,035728898;40196000000;-0,076688942;
0,521916278;3,28E-05;0,521916279;0,530205424;0,008289145;40296000000;0,015633836;
0,494596342;-7,27E-05;0,494596347;0,463851343;-0,030745005;40397000000;-0,066282021;
0,518256325;2,27E-05;0,518256326;0,528494359;0,010238033;40496000000;0,019372077;
0,486882491;-3,75E-05;0,486882493;0,462774617;-0,024107876;40596000000;-0,052094206;
0,508301295;4,70E-06;0,508301295;0,527579158;0,019277863;40696000000;0,036540229;
0,483446255;-0,000300103;0,483446348;0,480283663;-0,003162685;40796000000;-0,006585036;
0,505712857;-0,000167041;0,505712884;0,527913514;0,022200629;40896000000;0,042053535;
0,476325949;-3,03E-05;0,47632595;0,463723639;-0,012602312;40997000000;-0,027176341;
0,490384044;-0,000124186;0,49038406;0,528935099;0,038551039;41097000000;0,072884253;
0,47265281;-0,000150779;0,472652834;0,46651622;-0,006136614;41197000000;-0,013154128;
